onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	lexicality	memo
p	a	cʰ	u	k̚	CVCVC	ㅂㅏㅊㅜᆨ	바축	bachuk	FALSE	
p	o	cʰ	i	k̚	CVCVC	ㅂㅗㅊㅣᆨ	보칙	bochik		
p	o	cʰ	a	k̚	CVCVC	ㅂㅗㅊㅏᆨ	보착	bochak		
p	o	cʰ	u	k̚	CVCVC	ㅂㅗㅊㅜᆨ	보축	bochuk		
p	u	cʰ	i	k̚	CVCVC	ㅂㅜㅊㅣᆨ	부칙	buchik		
p	u	cʰ	a	k̚	CVCVC	ㅂㅜㅊㅏᆨ	부착	buchak		
p	u	cʰ	o	k̚	CVCVC	ㅂㅜㅊㅗᆨ	부촉	buchok		
p	i	kʰ	a	t̚	CVCVC	ㅂㅣㅋㅏᆮ	비칻	bikat		
p	i	kʰ	o	t̚	CVCVC	ㅂㅣㅋㅗᆮ	비콛	bikot		
p	i	kʰ	u	t̚	CVCVC	ㅂㅣㅋㅜᆮ	비쿧	bikut		
p	a	kʰ	i	t̚	CVCVC	ㅂㅏㅋㅣᆮ	바킫	bakit		
p	a	kʰ	o	t̚	CVCVC	ㅂㅏㅋㅗᆮ	바콛	bakot		
p	a	kʰ	u	t̚	CVCVC	ㅂㅏㅋㅜᆮ	바쿧	bakut		
p	o	kʰ	i	t̚	CVCVC	ㅂㅗㅋㅣᆮ	보킫	bokit	FALSE	
p	o	kʰ	a	t̚	CVCVC	ㅂㅗㅋㅏᆮ	보칻	bokat		
p	o	kʰ	u	t̚	CVCVC	ㅂㅗㅋㅜᆮ	보쿧	bokut		
p	u	kʰ	i	t̚	CVCVC	ㅂㅜㅋㅣᆮ	부킫	bukit		
p	u	kʰ	a	t̚	CVCVC	ㅂㅜㅋㅏᆮ	부칻	bukat		
p	u	kʰ	o	t̚	CVCVC	ㅂㅜㅋㅗᆮ	부콛	bukot		
p	i	s	a	k̚	CVCVC	ㅂㅣᄉㅏᆨ	비삭	bisak		
p	i	s	o	k̚	CVCVC	ㅂㅣᄉㅗᆨ	비속	bisok		
p	i	s	u	k̚	CVCVC	ㅂㅣᄉㅜᆨ	비숙	bisuk		
p	a	s	i	k̚	CVCVC	ㅂㅏᄉㅣᆨ	바식	basik		
p	a	s	o	k̚	CVCVC	ㅂㅏᄉㅗᆨ	바속	basok		
p	a	s	u	k̚	CVCVC	ㅂㅏᄉㅜᆨ	바숙	basuk		
p	o	s	i	k̚	CVCVC	ㅂㅗᄉㅣᆨ	보식	bosik		
p	o	s	u	k̚	CVCVC	ㅂㅗᄉㅜᆨ	보숙	bosuk	FALSE	
p	u	s	i	k̚	CVCVC	ㅂㅜᄉㅣᆨ	부식	busik		
p	u	s	a	k̚	CVCVC	ㅂㅜᄉㅏᆨ	부삭	busak		
p	u	s	o	k̚	CVCVC	ㅂㅜᄉㅗᆨ	부속	busok		
p	i	m	a	k̚	CVCVC	ㅂㅣᄆㅏᆨ	비막	bimak		
p	i	m	o	k̚	CVCVC	ㅂㅣᄆㅗᆨ	비목	bimok		
p	i	m	u	k̚	CVCVC	ㅂㅣᄆㅜᆨ	비묵	bimuk		
p	a	m	i	k̚	CVCVC	ㅂㅏᄆㅣᆨ	바믹	bamik		
p	a	m	o	k̚	CVCVC	ㅂㅏᄆㅗᆨ	바목	bamok		
p	a	m	u	k̚	CVCVC	ㅂㅏᄆㅜᆨ	바묵	bamuk		
p	o	m	i	k̚	CVCVC	ㅂㅗᄆㅣᆨ	보믹	bomik		
p	o	m	a	k̚	CVCVC	ㅂㅗᄆㅏᆨ	보막	bomak		
p	o	m	u	k̚	CVCVC	ㅂㅗᄆㅜᆨ	보묵	bomuk		
p	u	m	i	k̚	CVCVC	ㅂㅜᄆㅣᆨ	부믹	bumik	FALSE	
p	u	m	a	k̚	CVCVC	ㅂㅜᄆㅏᆨ	부막	bumak		
p	u	m	o	k̚	CVCVC	ㅂㅜᄆㅗᆨ	부목	bumok		
p	i	n	a	k̚	CVCVC	ㅂㅣᄂㅏᆨ	비낙	binak		
p	i	n	o	k̚	CVCVC	ㅂㅣᄂㅗᆨ	비녹	binok		
p	i	n	u	k̚	CVCVC	ㅂㅣᄂㅜᆨ	비눅	binuk		
p	a	n	i	k̚	CVCVC	ㅂㅏᄂㅣᆨ	바닉	banik		
p	a	n	o	k̚	CVCVC	ㅂㅏᄂㅗᆨ	바녹	banok		
p	a	n	u	k̚	CVCVC	ㅂㅏᄂㅜᆨ	바눅	banuk		
p	o	n	i	k̚	CVCVC	ㅂㅗᄂㅣᆨ	보닉	bonik		
p	o	n	a	k̚	CVCVC	ㅂㅗᄂㅏᆨ	보낙	bonak		
p	o	n	u	k̚	CVCVC	ㅂㅗᄂㅜᆨ	보눅	bonuk		
p	u	n	i	k̚	CVCVC	ㅂㅜᄂㅣᆨ	부닉	bunik		
p	u	n	a	k̚	CVCVC	ㅂㅜᄂㅏᆨ	부낙	bunak	FALSE	
p	u	n	o	k̚	CVCVC	ㅂㅜᄂㅗᆨ	부녹	bunok		
t	i	p	a	k̚	CVCVC	ㄷㅣㅂㅏᆨ	디박	dibak		
t	i	p	o	k̚	CVCVC	ㄷㅣㅂㅗᆨ	디복	dibok		
t	i	p	u	k̚	CVCVC	ㄷㅣㅂㅜᆨ	디북	dibuk		
t	a	p	i	k̚	CVCVC	ㄷㅏㅂㅣᆨ	다빅	dabik		
t	a	p	o	k̚	CVCVC	ㄷㅏㅂㅗᆨ	다복	dabok		
t	a	p	u	k̚	CVCVC	ㄷㅏㅂㅜᆨ	다북	dabuk		
t	o	p	i	k̚	CVCVC	ㄷㅗㅂㅣᆨ	도빅	dobik		
t	o	p	u	k̚	CVCVC	ㄷㅗㅂㅜᆨ	도북	dobuk		
t	u	p	i	k̚	CVCVC	ㄷㅜㅂㅣᆨ	두빅	dubik		
t	u	p	a	k̚	CVCVC	ㄷㅜㅂㅏᆨ	두박	dubak		
t	u	p	o	k̚	CVCVC	ㄷㅜㅂㅗᆨ	두복	dubok		
t	i	c	a	k̚	CVCVC	ㄷㅣㅈㅏᆨ	디작	dijak	FALSE	
t	i	c	o	k̚	CVCVC	ㄷㅣㅈㅗᆨ	디족	dijok		
t	i	c	u	k̚	CVCVC	ㄷㅣㅈㅜᆨ	디죽	dijuk		
t	a	c	i	k̚	CVCVC	ㄷㅏㅈㅣᆨ	다직	dajik		
t	a	c	o	k̚	CVCVC	ㄷㅏㅈㅗᆨ	다족	dajok		
t	a	c	u	k̚	CVCVC	ㄷㅏㅈㅜᆨ	다죽	dajuk		
t	o	c	i	k̚	CVCVC	ㄷㅗㅈㅣᆨ	도직	dojik		
t	o	c	u	k̚	CVCVC	ㄷㅗㅈㅜᆨ	도죽	dojuk		
t	u	c	i	k̚	CVCVC	ㄷㅜㅈㅣᆨ	두직	dujik		
t	u	c	a	k̚	CVCVC	ㄷㅜㅈㅏᆨ	두작	dujak		
t	u	c	o	k̚	CVCVC	ㄷㅜㅈㅗᆨ	두족	dujok		
t	i	k	a	t̚	CVCVC	ㄷㅣㄱㅏᆮ	디갇	digat		
t	i	k	o	t̚	CVCVC	ㄷㅣㄱㅗᆮ	디곧	digot		
t	i	k	u	t̚	CVCVC	ㄷㅣㄱㅜᆮ	디굳	digut	FALSE	
t	a	k	i	t̚	CVCVC	ㄷㅏㄱㅣᆮ	다긷	dagit		
t	a	k	o	t̚	CVCVC	ㄷㅏㄱㅗᆮ	다곧	dagot		
t	a	k	u	t̚	CVCVC	ㄷㅏㄱㅜᆮ	다굳	dagut		
t	o	k	i	t̚	CVCVC	ㄷㅗㄱㅣᆮ	도긷	dogit		
t	o	k	a	t̚	CVCVC	ㄷㅗㄱㅏᆮ	도갇	dogat		
t	o	k	u	t̚	CVCVC	ㄷㅗㄱㅜᆮ	도굳	dogut		
t	u	k	i	t̚	CVCVC	ㄷㅜㄱㅣᆮ	두긷	dugit		
t	u	k	a	t̚	CVCVC	ㄷㅜㄱㅏᆮ	두갇	dugat		
t	u	k	o	t̚	CVCVC	ㄷㅜㄱㅗᆮ	두곧	dugot		
t	i	pʰ	a	k̚	CVCVC	ㄷㅣㅍㅏᆨ	디팍	dipak		
t	i	pʰ	o	k̚	CVCVC	ㄷㅣㅍㅗᆨ	디폭	dipok		
t	i	pʰ	u	k̚	CVCVC	ㄷㅣㅍㅜᆨ	디푹	dipuk		
t	a	pʰ	i	k̚	CVCVC	ㄷㅏㅍㅣᆨ	다픽	dapik	FALSE	
t	a	pʰ	o	k̚	CVCVC	ㄷㅏㅍㅗᆨ	다폭	dapok		
t	a	pʰ	u	k̚	CVCVC	ㄷㅏㅍㅜᆨ	다푹	dapuk		
t	o	pʰ	i	k̚	CVCVC	ㄷㅗㅍㅣᆨ	도픽	dopik		
t	o	pʰ	a	k̚	CVCVC	ㄷㅗㅍㅏᆨ	도팍	dopak		
t	o	pʰ	u	k̚	CVCVC	ㄷㅗㅍㅜᆨ	도푹	dopuk		
t	u	pʰ	i	k̚	CVCVC	ㄷㅜㅍㅣᆨ	두픽	dupik		
t	u	pʰ	a	k̚	CVCVC	ㄷㅜㅍㅏᆨ	두팍	dupak		
t	u	pʰ	o	k̚	CVCVC	ㄷㅜㅍㅗᆨ	두폭	dupok		
t	i	cʰ	a	k̚	CVCVC	ㄷㅣㅊㅏᆨ	디착	dichak		
t	i	cʰ	o	k̚	CVCVC	ㄷㅣㅊㅗᆨ	디촉	dichok		
t	i	cʰ	u	k̚	CVCVC	ㄷㅣㅊㅜᆨ	디축	dichuk		
t	a	cʰ	i	k̚	CVCVC	ㄷㅏㅊㅣᆨ	다칙	dachik		
t	a	cʰ	o	k̚	CVCVC	ㄷㅏㅊㅗᆨ	다촉	dachok	FALSE	
t	a	cʰ	u	k̚	CVCVC	ㄷㅏㅊㅜᆨ	다축	dachuk		
t	o	cʰ	i	k̚	CVCVC	ㄷㅗㅊㅣᆨ	도칙	dochik		
t	o	cʰ	a	k̚	CVCVC	ㄷㅗㅊㅏᆨ	도착	dochak		
t	o	cʰ	u	k̚	CVCVC	ㄷㅗㅊㅜᆨ	도축	dochuk		
t	u	cʰ	i	k̚	CVCVC	ㄷㅜㅊㅣᆨ	두칙	duchik		
t	u	cʰ	a	k̚	CVCVC	ㄷㅜㅊㅏᆨ	두착	duchak		
t	u	cʰ	o	k̚	CVCVC	ㄷㅜㅊㅗᆨ	두촉	duchok		
t	i	kʰ	a	t̚	CVCVC	ㄷㅣㅋㅏᆮ	디칻	dikat		
t	i	kʰ	o	t̚	CVCVC	ㄷㅣㅋㅗᆮ	디콛	dikot		
t	i	kʰ	u	t̚	CVCVC	ㄷㅣㅋㅜᆮ	디쿧	dikut		
t	a	kʰ	i	t̚	CVCVC	ㄷㅏㅋㅣᆮ	다킫	dakit		
t	a	kʰ	o	t̚	CVCVC	ㄷㅏㅋㅗᆮ	다콛	dakot		
t	a	kʰ	u	t̚	CVCVC	ㄷㅏㅋㅜᆮ	다쿧	dakut	FALSE	
t	o	kʰ	i	t̚	CVCVC	ㄷㅗㅋㅣᆮ	도킫	dokit		
t	o	kʰ	a	t̚	CVCVC	ㄷㅗㅋㅏᆮ	도칻	dokat		
t	o	kʰ	u	t̚	CVCVC	ㄷㅗㅋㅜᆮ	도쿧	dokut		
t	u	kʰ	i	t̚	CVCVC	ㄷㅜㅋㅣᆮ	두킫	dukit		
t	u	kʰ	a	t̚	CVCVC	ㄷㅜㅋㅏᆮ	두칻	dukat		
t	u	kʰ	o	t̚	CVCVC	ㄷㅜㅋㅗᆮ	두콛	dukot		
t	i	s	a	k̚	CVCVC	ㄷㅣᄉㅏᆨ	디삭	disak		
t	i	s	o	k̚	CVCVC	ㄷㅣᄉㅗᆨ	디속	disok		
t	i	s	u	k̚	CVCVC	ㄷㅣᄉㅜᆨ	디숙	disuk		
t	a	s	i	k̚	CVCVC	ㄷㅏᄉㅣᆨ	다식	dasik		
t	a	s	o	k̚	CVCVC	ㄷㅏᄉㅗᆨ	다속	dasok		
t	a	s	u	k̚	CVCVC	ㄷㅏᄉㅜᆨ	다숙	dasuk		
t	o	s	i	k̚	CVCVC	ㄷㅗᄉㅣᆨ	도식	dosik	TRUE	
t	o	s	a	k̚	CVCVC	ㄷㅗᄉㅏᆨ	도삭	dosak		
t	o	s	u	k̚	CVCVC	ㄷㅗᄉㅜᆨ	도숙	dosuk		
t	u	s	i	k̚	CVCVC	ㄷㅜᄉㅣᆨ	두식	dusik		
t	u	s	a	k̚	CVCVC	ㄷㅜᄉㅏᆨ	두삭	dusak		
t	u	s	o	k̚	CVCVC	ㄷㅜᄉㅗᆨ	두속	dusok		
t	i	m	a	k̚	CVCVC	ㄷㅣᄆㅏᆨ	디막	dimak		
t	i	m	o	k̚	CVCVC	ㄷㅣᄆㅗᆨ	디목	dimok		
t	i	m	u	k̚	CVCVC	ㄷㅣᄆㅜᆨ	디묵	dimuk		
t	a	m	i	k̚	CVCVC	ㄷㅏᄆㅣᆨ	다믹	damik		
t	a	m	o	k̚	CVCVC	ㄷㅏᄆㅗᆨ	다목	damok		
t	a	m	u	k̚	CVCVC	ㄷㅏᄆㅜᆨ	다묵	damuk		
t	o	m	i	k̚	CVCVC	ㄷㅗᄆㅣᆨ	도믹	domik		
t	o	m	u	k̚	CVCVC	ㄷㅗᄆㅜᆨ	도묵	domuk	TRUE	
t	u	m	i	k̚	CVCVC	ㄷㅜᄆㅣᆨ	두믹	dumik		
t	u	m	a	k̚	CVCVC	ㄷㅜᄆㅏᆨ	두막	dumak		
t	i	n	a	k̚	CVCVC	ㄷㅣᄂㅏᆨ	디낙	dinak		
t	i	n	o	k̚	CVCVC	ㄷㅣᄂㅗᆨ	디녹	dinok		
t	i	n	u	k̚	CVCVC	ㄷㅣᄂㅜᆨ	디눅	dinuk		
t	a	n	i	k̚	CVCVC	ㄷㅏᄂㅣᆨ	다닉	danik		
t	a	n	o	k̚	CVCVC	ㄷㅏᄂㅗᆨ	다녹	danok		
t	a	n	u	k̚	CVCVC	ㄷㅏᄂㅜᆨ	다눅	danuk		
t	o	n	i	k̚	CVCVC	ㄷㅗᄂㅣᆨ	도닉	donik		
t	o	n	a	k̚	CVCVC	ㄷㅗᄂㅏᆨ	도낙	donak		
t	o	n	u	k̚	CVCVC	ㄷㅗᄂㅜᆨ	도눅	donuk		
t	u	n	i	k̚	CVCVC	ㄷㅜᄂㅣᆨ	두닉	dunik		
t	u	n	a	k̚	CVCVC	ㄷㅜᄂㅏᆨ	두낙	dunak	FALSE	
t	u	n	o	k̚	CVCVC	ㄷㅜᄂㅗᆨ	두녹	dunok		
c	i	p	a	k̚	CVCVC	ㅈㅣㅂㅏᆨ	지박	jibak		
c	i	p	o	k̚	CVCVC	ㅈㅣㅂㅗᆨ	지복	jibok		
c	i	p	u	k̚	CVCVC	ㅈㅣㅂㅜᆨ	지북	jibuk		
c	a	p	i	k̚	CVCVC	ㅈㅏㅂㅣᆨ	자빅	jabik		
c	a	p	o	k̚	CVCVC	ㅈㅏㅂㅗᆨ	자복	jabok		
c	a	p	u	k̚	CVCVC	ㅈㅏㅂㅜᆨ	자북	jabuk		
c	o	p	i	k̚	CVCVC	ㅈㅗㅂㅣᆨ	조빅	jobik		
c	o	p	a	k̚	CVCVC	ㅈㅗㅂㅏᆨ	조박	jobak		
c	o	p	u	k̚	CVCVC	ㅈㅗㅂㅜᆨ	조북	jobuk		
c	u	p	i	k̚	CVCVC	ㅈㅜㅂㅣᆨ	주빅	jubik		
c	u	p	a	k̚	CVCVC	ㅈㅜㅂㅏᆨ	주박	jubak		
c	u	p	o	k̚	CVCVC	ㅈㅜㅂㅗᆨ	주복	jubok	TRUE	
c	i	t	a	k̚	CVCVC	ㅈㅣㄷㅏᆨ	지닥	jidak		
c	i	t	o	k̚	CVCVC	ㅈㅣㄷㅗᆨ	지독	jidok		
c	i	t	u	k̚	CVCVC	ㅈㅣㄷㅜᆨ	지둑	jiduk		
c	a	t	i	k̚	CVCVC	ㅈㅏㄷㅣᆨ	자딕	jadik		
c	a	t	o	k̚	CVCVC	ㅈㅏㄷㅗᆨ	자독	jadok		
c	a	t	u	k̚	CVCVC	ㅈㅏㄷㅜᆨ	자둑	jaduk		
c	o	t	i	k̚	CVCVC	ㅈㅗㄷㅣᆨ	조딕	jodik		
c	o	t	a	k̚	CVCVC	ㅈㅗㄷㅏᆨ	조닥	jodak		
c	o	t	u	k̚	CVCVC	ㅈㅗㄷㅜᆨ	조둑	joduk		
c	u	t	i	k̚	CVCVC	ㅈㅜㄷㅣᆨ	주딕	judik		
c	u	t	a	k̚	CVCVC	ㅈㅜㄷㅏᆨ	주닥	judak		
c	u	t	o	k̚	CVCVC	ㅈㅜㄷㅗᆨ	주독	judok		
c	i	k	a	t̚	CVCVC	ㅈㅣㄱㅏᆮ	지갇	jigat	FALSE	
c	i	k	o	t̚	CVCVC	ㅈㅣㄱㅗᆮ	지곧	jigot		
c	i	k	u	t̚	CVCVC	ㅈㅣㄱㅜᆮ	지굳	jigut		
c	a	k	i	t̚	CVCVC	ㅈㅏㄱㅣᆮ	자긷	jagit		
c	a	k	o	t̚	CVCVC	ㅈㅏㄱㅗᆮ	자곧	jagot		
c	a	k	u	t̚	CVCVC	ㅈㅏㄱㅜᆮ	자굳	jagut		
c	o	k	i	t̚	CVCVC	ㅈㅗㄱㅣᆮ	조긷	jogit		
c	o	k	a	t̚	CVCVC	ㅈㅗㄱㅏᆮ	조갇	jogat		
c	o	k	u	t̚	CVCVC	ㅈㅗㄱㅜᆮ	조굳	jogut		
c	u	k	i	t̚	CVCVC	ㅈㅜㄱㅣᆮ	주긷	jugit		
c	u	k	a	t̚	CVCVC	ㅈㅜㄱㅏᆮ	주갇	jugat		
c	u	k	o	t̚	CVCVC	ㅈㅜㄱㅗᆮ	주곧	jugot		
c	i	pʰ	a	k̚	CVCVC	ㅈㅣㅍㅏᆨ	지팍	jipak		
c	i	pʰ	o	k̚	CVCVC	ㅈㅣㅍㅗᆨ	지폭	jipok	TRUE	
c	i	pʰ	u	k̚	CVCVC	ㅈㅣㅍㅜᆨ	지푹	jipuk		
c	a	pʰ	i	k̚	CVCVC	ㅈㅏㅍㅣᆨ	자픽	japik		
c	a	pʰ	o	k̚	CVCVC	ㅈㅏㅍㅗᆨ	자폭	japok		
c	a	pʰ	u	k̚	CVCVC	ㅈㅏㅍㅜᆨ	자푹	japuk		
c	o	pʰ	i	k̚	CVCVC	ㅈㅗㅍㅣᆨ	조픽	jopik		
c	o	pʰ	a	k̚	CVCVC	ㅈㅗㅍㅏᆨ	조팍	jopak		
c	o	pʰ	u	k̚	CVCVC	ㅈㅗㅍㅜᆨ	조푹	jopuk		
c	u	pʰ	i	k̚	CVCVC	ㅈㅜㅍㅣᆨ	주픽	jupik		
c	u	pʰ	a	k̚	CVCVC	ㅈㅜㅍㅏᆨ	주팍	jupak		
c	u	pʰ	o	k̚	CVCVC	ㅈㅜㅍㅗᆨ	주폭	jupok		
c	i	tʰ	a	k̚	CVCVC	ㅈㅣㅌㅏᆨ	지탁	jitak		
c	i	tʰ	o	k̚	CVCVC	ㅈㅣㅌㅗᆨ	지톡	jitok		
c	i	tʰ	u	k̚	CVCVC	ㅈㅣㅌㅜᆨ	지툭	jituk	FALSE	
c	a	tʰ	i	k̚	CVCVC	ㅈㅏㅌㅣᆨ	자틱	jatik		
c	a	tʰ	o	k̚	CVCVC	ㅈㅏㅌㅗᆨ	자톡	jatok		
c	a	tʰ	u	k̚	CVCVC	ㅈㅏㅌㅜᆨ	자툭	jatuk		
c	o	tʰ	i	k̚	CVCVC	ㅈㅗㅌㅣᆨ	조틱	jotik		
c	o	tʰ	a	k̚	CVCVC	ㅈㅗㅌㅏᆨ	조탁	jotak		
c	o	tʰ	u	k̚	CVCVC	ㅈㅗㅌㅜᆨ	조툭	jotuk		
c	u	tʰ	i	k̚	CVCVC	ㅈㅜㅌㅣᆨ	주틱	jutik		
c	u	tʰ	a	k̚	CVCVC	ㅈㅜㅌㅏᆨ	주탁	jutak		
c	u	tʰ	o	k̚	CVCVC	ㅈㅜㅌㅗᆨ	주톡	jutok		
c	i	kʰ	a	t̚	CVCVC	ㅈㅣㅋㅏᆮ	지칻	jikat		
c	i	kʰ	o	t̚	CVCVC	ㅈㅣㅋㅗᆮ	지콛	jikot		
c	i	kʰ	u	t̚	CVCVC	ㅈㅣㅋㅜᆮ	지쿧	jikut		
c	a	kʰ	i	t̚	CVCVC	ㅈㅏㅋㅣᆮ	자킫	jakit	TRUE	
c	a	kʰ	o	t̚	CVCVC	ㅈㅏㅋㅗᆮ	자콛	jakot		
c	a	kʰ	u	t̚	CVCVC	ㅈㅏㅋㅜᆮ	자쿧	jakut		
c	o	kʰ	i	t̚	CVCVC	ㅈㅗㅋㅣᆮ	조킫	jokit		
c	o	kʰ	a	t̚	CVCVC	ㅈㅗㅋㅏᆮ	조칻	jokat		
c	o	kʰ	u	t̚	CVCVC	ㅈㅗㅋㅜᆮ	조쿧	jokut		
c	u	kʰ	i	t̚	CVCVC	ㅈㅜㅋㅣᆮ	주킫	jukit		
c	u	kʰ	a	t̚	CVCVC	ㅈㅜㅋㅏᆮ	주칻	jukat		
c	u	kʰ	o	t̚	CVCVC	ㅈㅜㅋㅗᆮ	주콛	jukot		
c	i	s	a	k̚	CVCVC	ㅈㅣᄉㅏᆨ	지삭	jisak		
c	i	s	o	k̚	CVCVC	ㅈㅣᄉㅗᆨ	지속	jisok		
c	i	s	u	k̚	CVCVC	ㅈㅣᄉㅜᆨ	지숙	jisuk		
c	a	s	o	k̚	CVCVC	ㅈㅏᄉㅗᆨ	자속	jasok		
c	a	s	u	k̚	CVCVC	ㅈㅏᄉㅜᆨ	자숙	jasuk	TRUE	
c	o	s	a	k̚	CVCVC	ㅈㅗᄉㅏᆨ	조삭	josak		
c	o	s	u	k̚	CVCVC	ㅈㅗᄉㅜᆨ	조숙	josuk		
c	u	s	a	k̚	CVCVC	ㅈㅜᄉㅏᆨ	주삭	jusak		
c	u	s	o	k̚	CVCVC	ㅈㅜᄉㅗᆨ	주속	jusok		
c	i	m	a	k̚	CVCVC	ㅈㅣᄆㅏᆨ	지막	jimak		
c	i	m	o	k̚	CVCVC	ㅈㅣᄆㅗᆨ	지목	jimok		
c	i	m	u	k̚	CVCVC	ㅈㅣᄆㅜᆨ	지묵	jimuk		
c	a	m	i	k̚	CVCVC	ㅈㅏᄆㅣᆨ	자믹	jamik		
c	a	m	o	k̚	CVCVC	ㅈㅏᄆㅗᆨ	자목	jamok		
c	a	m	u	k̚	CVCVC	ㅈㅏᄆㅜᆨ	자묵	jamuk		
c	o	m	i	k̚	CVCVC	ㅈㅗᄆㅣᆨ	조믹	jomik		
c	o	m	a	k̚	CVCVC	ㅈㅗᄆㅏᆨ	조막	jomak		
c	o	m	u	k̚	CVCVC	ㅈㅗᄆㅜᆨ	조묵	jomuk	TRUE	
c	u	m	i	k̚	CVCVC	ㅈㅜᄆㅣᆨ	주믹	jumik		
c	u	m	o	k̚	CVCVC	ㅈㅜᄆㅗᆨ	주목	jumok		
