onset1	nucleus1	onset2	nucleus2	coda	shape	jamo	hangul	romanization	lexicality	memo
p	i	t	a	k̚	CVCVC	ㅂㅣㄷㅏᆨ	비닥	bidak		
p	i	t	o	k̚	CVCVC	ㅂㅣㄷㅗᆨ	비독	bidok		
p	i	t	u	k̚	CVCVC	ㅂㅣㄷㅜᆨ	비둑	biduk		
p	a	t	i	k̚	CVCVC	ㅂㅏㄷㅣᆨ	바딕	badik		
p	a	t	o	k̚	CVCVC	ㅂㅏㄷㅗᆨ	바독	badok		
p	o	t	i	k̚	CVCVC	ㅂㅗㄷㅣᆨ	보딕	bodik		
p	o	t	a	k̚	CVCVC	ㅂㅗㄷㅏᆨ	보닥	bodak		
p	o	t	u	k̚	CVCVC	ㅂㅗㄷㅜᆨ	보둑	boduk		
p	u	t	i	k̚	CVCVC	ㅂㅜㄷㅣᆨ	부딕	budik		
p	u	t	a	k̚	CVCVC	ㅂㅜㄷㅏᆨ	부닥	budak		
p	u	t	o	k̚	CVCVC	ㅂㅜㄷㅗᆨ	부독	budok		
p	i	c	a	k̚	CVCVC	ㅂㅣㅈㅏᆨ	비작	bijak	FALSE	
p	i	c	o	k̚	CVCVC	ㅂㅣㅈㅗᆨ	비족	bijok		
p	i	c	u	k̚	CVCVC	ㅂㅣㅈㅜᆨ	비죽	bijuk		
p	a	c	i	k̚	CVCVC	ㅂㅏㅈㅣᆨ	바직	bajik		
p	a	c	o	k̚	CVCVC	ㅂㅏㅈㅗᆨ	바족	bajok		
p	a	c	u	k̚	CVCVC	ㅂㅏㅈㅜᆨ	바죽	bajuk		
p	o	c	i	k̚	CVCVC	ㅂㅗㅈㅣᆨ	보직	bojik		
p	o	c	a	k̚	CVCVC	ㅂㅗㅈㅏᆨ	보작	bojak		
p	o	c	u	k̚	CVCVC	ㅂㅗㅈㅜᆨ	보죽	bojuk		
p	u	c	i	k̚	CVCVC	ㅂㅜㅈㅣᆨ	부직	bujik		
p	u	c	a	k̚	CVCVC	ㅂㅜㅈㅏᆨ	부작	bujak		
p	i	k	a	t̚	CVCVC	ㅂㅣㄱㅏᆮ	비갇	bigat		
p	i	k	o	t̚	CVCVC	ㅂㅣㄱㅗᆮ	비곧	bigot		
p	i	k	u	t̚	CVCVC	ㅂㅣㄱㅜᆮ	비굳	bigut	FALSE	
p	a	k	i	t̚	CVCVC	ㅂㅏㄱㅣᆮ	바긷	bagit		
p	a	k	o	t̚	CVCVC	ㅂㅏㄱㅗᆮ	바곧	bagot		
p	a	k	u	t̚	CVCVC	ㅂㅏㄱㅜᆮ	바굳	bagut		
p	o	k	i	t̚	CVCVC	ㅂㅗㄱㅣᆮ	보긷	bogit		
p	o	k	a	t̚	CVCVC	ㅂㅗㄱㅏᆮ	보갇	bogat		
p	o	k	u	t̚	CVCVC	ㅂㅗㄱㅜᆮ	보굳	bogut		
p	u	k	i	t̚	CVCVC	ㅂㅜㄱㅣᆮ	부긷	bugit		
p	u	k	a	t̚	CVCVC	ㅂㅜㄱㅏᆮ	부갇	bugat		
p	u	k	o	t̚	CVCVC	ㅂㅜㄱㅗᆮ	부곧	bugot		
p	i	tʰ	a	k̚	CVCVC	ㅂㅣㅌㅏᆨ	비탁	bitak		
p	i	tʰ	o	k̚	CVCVC	ㅂㅣㅌㅗᆨ	비톡	bitok		
p	i	tʰ	u	k̚	CVCVC	ㅂㅣㅌㅜᆨ	비툭	bituk		
p	a	tʰ	i	k̚	CVCVC	ㅂㅏㅌㅣᆨ	바틱	batik	FALSE	
p	a	tʰ	o	k̚	CVCVC	ㅂㅏㅌㅗᆨ	바톡	batok		
p	a	tʰ	u	k̚	CVCVC	ㅂㅏㅌㅜᆨ	바툭	batuk		
p	o	tʰ	i	k̚	CVCVC	ㅂㅗㅌㅣᆨ	보틱	botik		
p	o	tʰ	a	k̚	CVCVC	ㅂㅗㅌㅏᆨ	보탁	botak		
p	o	tʰ	u	k̚	CVCVC	ㅂㅗㅌㅜᆨ	보툭	botuk		
p	u	tʰ	i	k̚	CVCVC	ㅂㅜㅌㅣᆨ	부틱	butik		
p	u	tʰ	o	k̚	CVCVC	ㅂㅜㅌㅗᆨ	부톡	butok		
p	i	cʰ	a	k̚	CVCVC	ㅂㅣㅊㅏᆨ	비착	bichak		
p	i	cʰ	o	k̚	CVCVC	ㅂㅣㅊㅗᆨ	비촉	bichok		
p	i	cʰ	u	k̚	CVCVC	ㅂㅣㅊㅜᆨ	비축	bichuk		
p	a	cʰ	i	k̚	CVCVC	ㅂㅏㅊㅣᆨ	바칙	bachik		
p	a	cʰ	o	k̚	CVCVC	ㅂㅏㅊㅗᆨ	바촉	bachok		
