onset	nucleus	coda	shape	jamo	hangul	romanized
k	a	m	CVC	ㄱㅏᆷ	감	gam
k	a	n	CVC	ㄱㅏᆫ	간	gan
k	a	ŋ	CVC	ㄱㅏᆼ	강	gang
k	a	p̚	CVC	ㄱㅏᆸ	갑	gap
k	a	t̚	CVC	ㄱㅏᆮ	갇	gat
k	o	m	CVC	ㄱㅗᆷ	곰	gom
k	o	n	CVC	ㄱㅗᆫ	곤	gon
k	o	ŋ	CVC	ㄱㅗᆼ	공	gong
k	o	p̚	CVC	ㄱㅗᆸ	곱	gop
k	o	t̚	CVC	ㄱㅗᆮ	곧	got
k	u	m	CVC	ㄱㅜᆷ	굼	gum
k	u	n	CVC	ㄱㅜᆫ	군	gun
k	u	ŋ	CVC	ㄱㅜᆼ	궁	gung
k	u	p̚	CVC	ㄱㅜᆸ	굽	gup
k	u	t̚	CVC	ㄱㅜᆮ	굳	gut
pʰ	i	m	CVC	ㅍㅣᆷ	핌	pim
pʰ	i	n	CVC	ㅍㅣᆫ	핀	pin
pʰ	i	ŋ	CVC	ㅍㅣᆼ	핑	ping
pʰ	i	t̚	CVC	ㅍㅣᆮ	핃	pit
pʰ	i	k̚	CVC	ㅍㅣᆨ	픽	pik
pʰ	a	m	CVC	ㅍㅏᆷ	팜	pam
pʰ	a	n	CVC	ㅍㅏᆫ	판	pan
pʰ	a	ŋ	CVC	ㅍㅏᆼ	팡	pang
pʰ	a	t̚	CVC	ㅍㅏᆮ	팓	pat
pʰ	a	k̚	CVC	ㅍㅏᆨ	팍	pak
pʰ	o	m	CVC	ㅍㅗᆷ	폼	pom
pʰ	o	n	CVC	ㅍㅗᆫ	폰	pon
pʰ	o	ŋ	CVC	ㅍㅗᆼ	퐁	pong
pʰ	o	t̚	CVC	ㅍㅗᆮ	폳	pot
pʰ	o	k̚	CVC	ㅍㅗᆨ	폭	pok
pʰ	u	m	CVC	ㅍㅜᆷ	품	pum
pʰ	u	n	CVC	ㅍㅜᆫ	푼	pun
pʰ	u	ŋ	CVC	ㅍㅜᆼ	풍	pung
pʰ	u	t̚	CVC	ㅍㅜᆮ	푿	put
pʰ	u	k̚	CVC	ㅍㅜᆨ	푹	puk
tʰ	i	m	CVC	ㅌㅣᆷ	팀	tim
tʰ	i	n	CVC	ㅌㅣᆫ	틴	tin
tʰ	i	ŋ	CVC	ㅌㅣᆼ	팅	ting
tʰ	i	p̚	CVC	ㅌㅣᆸ	팁	tip
tʰ	i	k̚	CVC	ㅌㅣᆨ	틱	tik
tʰ	a	m	CVC	ㅌㅏᆷ	탐	tam
tʰ	a	n	CVC	ㅌㅏᆫ	탄	tan
tʰ	a	ŋ	CVC	ㅌㅏᆼ	탕	tang
tʰ	a	p̚	CVC	ㅌㅏᆸ	탑	tap
tʰ	a	k̚	CVC	ㅌㅏᆨ	탁	tak
tʰ	o	m	CVC	ㅌㅗᆷ	톰	tom
tʰ	o	n	CVC	ㅌㅗᆫ	톤	ton
tʰ	o	ŋ	CVC	ㅌㅗᆼ	통	tong
tʰ	o	p̚	CVC	ㅌㅗᆸ	톱	top
tʰ	o	k̚	CVC	ㅌㅗᆨ	톡	tok
tʰ	u	m	CVC	ㅌㅜᆷ	툼	tum
tʰ	u	n	CVC	ㅌㅜᆫ	툰	tun
tʰ	u	ŋ	CVC	ㅌㅜᆼ	퉁	tung
tʰ	u	p̚	CVC	ㅌㅜᆸ	툽	tup
tʰ	u	k̚	CVC	ㅌㅜᆨ	툭	tuk
cʰ	i	m	CVC	ㅊㅣᆷ	침	chim
cʰ	i	n	CVC	ㅊㅣᆫ	친	chin
cʰ	i	ŋ	CVC	ㅊㅣᆼ	칭	ching
cʰ	i	p̚	CVC	ㅊㅣᆸ	칩	chip
cʰ	i	t̚	CVC	ㅊㅣᆮ	칟	chit
cʰ	i	k̚	CVC	ㅊㅣᆨ	칙	chik
cʰ	a	m	CVC	ㅊㅏᆷ	참	cham
cʰ	a	n	CVC	ㅊㅏᆫ	찬	chan
cʰ	a	ŋ	CVC	ㅊㅏᆼ	창	chang
cʰ	a	p̚	CVC	ㅊㅏᆸ	찹	chap
cʰ	a	t̚	CVC	ㅊㅏᆮ	찯	chat
cʰ	a	k̚	CVC	ㅊㅏᆨ	착	chak
cʰ	o	m	CVC	ㅊㅗᆷ	촘	chom
cʰ	o	n	CVC	ㅊㅗᆫ	촌	chon
cʰ	o	ŋ	CVC	ㅊㅗᆼ	총	chong
cʰ	o	p̚	CVC	ㅊㅗᆸ	촙	chop
cʰ	o	t̚	CVC	ㅊㅗᆮ	촏	chot
cʰ	o	k̚	CVC	ㅊㅗᆨ	촉	chok
cʰ	u	m	CVC	ㅊㅜᆷ	춤	chum
cʰ	u	n	CVC	ㅊㅜᆫ	춘	chun
cʰ	u	ŋ	CVC	ㅊㅜᆼ	충	chung
cʰ	u	p̚	CVC	ㅊㅜᆸ	춥	chup
cʰ	u	t̚	CVC	ㅊㅜᆮ	춛	chut
cʰ	u	k̚	CVC	ㅊㅜᆨ	축	chuk
kʰ	i	m	CVC	ㅋㅣᆷ	킴	kim
kʰ	i	n	CVC	ㅋㅣᆫ	킨	kin
kʰ	i	ŋ	CVC	ㅋㅣᆼ	킹	king
kʰ	i	p̚	CVC	ㅋㅣᆸ	킵	kip
kʰ	i	t̚	CVC	ㅋㅣᆮ	킫	kit
kʰ	a	m	CVC	ㅋㅏᆷ	캄	kam
kʰ	a	n	CVC	ㅋㅏᆫ	칸	kan
kʰ	a	ŋ	CVC	ㅋㅏᆼ	캉	kang
kʰ	a	p̚	CVC	ㅋㅏᆸ	캅	kap
kʰ	a	t̚	CVC	ㅋㅏᆮ	칻	kat
kʰ	o	m	CVC	ㅋㅗᆷ	콤	kom
kʰ	o	n	CVC	ㅋㅗᆫ	콘	kon
kʰ	o	ŋ	CVC	ㅋㅗᆼ	콩	kong
kʰ	o	p̚	CVC	ㅋㅗᆸ	콥	kop
kʰ	o	t̚	CVC	ㅋㅗᆮ	콛	kot
kʰ	u	m	CVC	ㅋㅜᆷ	쿰	kum
kʰ	u	n	CVC	ㅋㅜᆫ	쿤	kun
kʰ	u	ŋ	CVC	ㅋㅜᆼ	쿵	kung
kʰ	u	p̚	CVC	ㅋㅜᆸ	쿱	kup
kʰ	u	t̚	CVC	ㅋㅜᆮ	쿧	kut
s	i	m	CVC	ᄉㅣᆷ	심	sim
s	i	n	CVC	ᄉㅣᆫ	신	sin
s	i	ŋ	CVC	ᄉㅣᆼ	싱	sing
s	i	p̚	CVC	ᄉㅣᆸ	십	sip
s	i	t̚	CVC	ᄉㅣᆮ	싣	sit
s	i	k̚	CVC	ᄉㅣᆨ	식	sik
s	a	m	CVC	ᄉㅏᆷ	삼	sam
s	a	n	CVC	ᄉㅏᆫ	산	san
s	a	ŋ	CVC	ᄉㅏᆼ	상	sang
s	a	p̚	CVC	ᄉㅏᆸ	삽	sap
s	a	t̚	CVC	ᄉㅏᆮ	삳	sat
s	a	k̚	CVC	ᄉㅏᆨ	삭	sak
s	o	m	CVC	ᄉㅗᆷ	솜	som
s	o	n	CVC	ᄉㅗᆫ	손	son
s	o	ŋ	CVC	ᄉㅗᆼ	송	song
s	o	p̚	CVC	ᄉㅗᆸ	솝	sop
s	o	t̚	CVC	ᄉㅗᆮ	솓	sot
s	o	k̚	CVC	ᄉㅗᆨ	속	sok
s	u	m	CVC	ᄉㅜᆷ	숨	sum
s	u	n	CVC	ᄉㅜᆫ	순	sun
s	u	ŋ	CVC	ᄉㅜᆼ	숭	sung
s	u	p̚	CVC	ᄉㅜᆸ	숩	sup
s	u	t̚	CVC	ᄉㅜᆮ	숟	sut
s	u	k̚	CVC	ᄉㅜᆨ	숙	suk
m	i	n	CVC	ᄆㅣᆫ	민	min
m	i	ŋ	CVC	ᄆㅣᆼ	밍	ming
m	i	p̚	CVC	ᄆㅣᆸ	밉	mip
m	i	t̚	CVC	ᄆㅣᆮ	믿	mit
m	i	k̚	CVC	ᄆㅣᆨ	믹	mik
m	a	n	CVC	ᄆㅏᆫ	만	man
m	a	ŋ	CVC	ᄆㅏᆼ	망	mang
m	a	p̚	CVC	ᄆㅏᆸ	맙	map
m	a	t̚	CVC	ᄆㅏᆮ	맏	mat
m	a	k̚	CVC	ᄆㅏᆨ	막	mak
m	o	n	CVC	ᄆㅗᆫ	몬	mon
m	o	ŋ	CVC	ᄆㅗᆼ	몽	mong
m	o	p̚	CVC	ᄆㅗᆸ	몹	mop
m	o	t̚	CVC	ᄆㅗᆮ	몯	mot
m	o	k̚	CVC	ᄆㅗᆨ	목	mok
m	u	n	CVC	ᄆㅜᆫ	문	mun
m	u	ŋ	CVC	ᄆㅜᆼ	뭉	mung
m	u	p̚	CVC	ᄆㅜᆸ	뭅	mup
m	u	t̚	CVC	ᄆㅜᆮ	묻	mut
m	u	k̚	CVC	ᄆㅜᆨ	묵	muk
n	i	m	CVC	ᄂㅣᆷ	님	nim
n	i	ŋ	CVC	ᄂㅣᆼ	닝	ning
n	i	p̚	CVC	ᄂㅣᆸ	닙	nip
n	i	t̚	CVC	ᄂㅣᆮ	닏	nit
n	i	k̚	CVC	ᄂㅣᆨ	닉	nik
n	a	m	CVC	ᄂㅏᆷ	남	nam
n	a	ŋ	CVC	ᄂㅏᆼ	낭	nang
n	a	p̚	CVC	ᄂㅏᆸ	납	nap
n	a	t̚	CVC	ᄂㅏᆮ	낟	nat
n	a	k̚	CVC	ᄂㅏᆨ	낙	nak
n	o	m	CVC	ᄂㅗᆷ	놈	nom
n	o	ŋ	CVC	ᄂㅗᆼ	농	nong
n	o	p̚	CVC	ᄂㅗᆸ	놉	nop
n	o	t̚	CVC	ᄂㅗᆮ	녿	not
n	o	k̚	CVC	ᄂㅗᆨ	녹	nok
n	u	m	CVC	ᄂㅜᆷ	눔	num
n	u	ŋ	CVC	ᄂㅜᆼ	눙	nung
n	u	p̚	CVC	ᄂㅜᆸ	눕	nup
n	u	t̚	CVC	ᄂㅜᆮ	눋	nut
n	u	k̚	CVC	ᄂㅜᆨ	눅	nuk
p	wi	m	CwVC	ㅂㅟᆷ	뷤	bwim
p	wi	n	CwVC	ㅂㅟᆫ	뷘	bwin
p	wi	ŋ	CwVC	ㅂㅟᆼ	뷩	bwing
p	wi	t̚	CwVC	ㅂㅟᆮ	뷛	bwit
p	wi	k̚	CwVC	ㅂㅟᆨ	뷕	bwik
p	wa	m	CwVC	ㅂㅘᆷ	봠	bwam
p	wa	n	CwVC	ㅂㅘᆫ	봔	bwan
p	wa	ŋ	CwVC	ㅂㅘᆼ	봥	bwang
p	wa	t̚	CwVC	ㅂㅘᆮ	봗	bwat
p	wa	k̚	CwVC	ㅂㅘᆨ	봑	bwak
t	wi	m	CwVC	ㄷㅟᆷ	뒴	dwim
t	wi	n	CwVC	ㄷㅟᆫ	뒨	dwin
t	wi	ŋ	CwVC	ㄷㅟᆼ	뒹	dwing
t	wi	p̚	CwVC	ㄷㅟᆸ	뒵	dwip
t	wi	k̚	CwVC	ㄷㅟᆨ	뒥	dwik
t	wa	m	CwVC	ㄷㅘᆷ	돰	dwam
t	wa	n	CwVC	ㄷㅘᆫ	돤	dwan
t	wa	ŋ	CwVC	ㄷㅘᆼ	돵	dwang
t	wa	p̚	CwVC	ㄷㅘᆸ	돱	dwap
t	wa	k̚	CwVC	ㄷㅘᆨ	돡	dwak
c	wi	m	CwVC	ㅈㅟᆷ	쥠	jwim
c	wi	n	CwVC	ㅈㅟᆫ	쥔	jwin
c	wi	ŋ	CwVC	ㅈㅟᆼ	쥥	jwing
c	wi	p̚	CwVC	ㅈㅟᆸ	쥡	jwip
c	wi	t̚	CwVC	ㅈㅟᆮ	쥗	jwit
c	wi	k̚	CwVC	ㅈㅟᆨ	쥑	jwik
c	wa	m	CwVC	ㅈㅘᆷ	좜	jwam
c	wa	n	CwVC	ㅈㅘᆫ	좐	jwan
c	wa	ŋ	CwVC	ㅈㅘᆼ	좡	jwang
c	wa	p̚	CwVC	ㅈㅘᆸ	좝	jwap
c	wa	t̚	CwVC	ㅈㅘᆮ	좓	jwat
c	wa	k̚	CwVC	ㅈㅘᆨ	좍	jwak
k	wi	m	CwVC	ㄱㅟᆷ	귐	gwim
k	wi	n	CwVC	ㄱㅟᆫ	귄	gwin
k	wi	ŋ	CwVC	ㄱㅟᆼ	귕	gwing
k	wi	p̚	CwVC	ㄱㅟᆸ	귑	gwip
k	wi	t̚	CwVC	ㄱㅟᆮ	귇	gwit
k	wa	m	CwVC	ㄱㅘᆷ	괌	gwam
k	wa	n	CwVC	ㄱㅘᆫ	관	gwan
k	wa	ŋ	CwVC	ㄱㅘᆼ	광	gwang
k	wa	p̚	CwVC	ㄱㅘᆸ	괍	gwap
k	wa	t̚	CwVC	ㄱㅘᆮ	괃	gwat
pʰ	wi	m	CwVC	ㅍㅟᆷ	퓜	pwim
pʰ	wi	n	CwVC	ㅍㅟᆫ	퓐	pwin
pʰ	wi	ŋ	CwVC	ㅍㅟᆼ	퓡	pwing
pʰ	wi	t̚	CwVC	ㅍㅟᆮ	퓓	pwit
pʰ	wi	k̚	CwVC	ㅍㅟᆨ	퓍	pwik
pʰ	wa	m	CwVC	ㅍㅘᆷ	퐘	pwam
pʰ	wa	n	CwVC	ㅍㅘᆫ	퐌	pwan
pʰ	wa	ŋ	CwVC	ㅍㅘᆼ	퐝	pwang
pʰ	wa	t̚	CwVC	ㅍㅘᆮ	퐏	pwat
pʰ	wa	k̚	CwVC	ㅍㅘᆨ	퐉	pwak
tʰ	wi	m	CwVC	ㅌㅟᆷ	튐	twim
tʰ	wi	n	CwVC	ㅌㅟᆫ	튄	twin
tʰ	wi	ŋ	CwVC	ㅌㅟᆼ	튕	twing
tʰ	wi	p̚	CwVC	ㅌㅟᆸ	튑	twip
tʰ	wi	k̚	CwVC	ㅌㅟᆨ	튁	twik
tʰ	wa	m	CwVC	ㅌㅘᆷ	퇌	twam
tʰ	wa	n	CwVC	ㅌㅘᆫ	퇀	twan
tʰ	wa	ŋ	CwVC	ㅌㅘᆼ	퇑	twang
tʰ	wa	p̚	CwVC	ㅌㅘᆸ	퇍	twap
tʰ	wa	k̚	CwVC	ㅌㅘᆨ	톽	twak
cʰ	wi	m	CwVC	ㅊㅟᆷ	췸	chwim
cʰ	wi	n	CwVC	ㅊㅟᆫ	췬	chwin
cʰ	wi	ŋ	CwVC	ㅊㅟᆼ	췽	chwing
cʰ	wi	p̚	CwVC	ㅊㅟᆸ	췹	chwip
cʰ	wi	t̚	CwVC	ㅊㅟᆮ	췯	chwit
cʰ	wi	k̚	CwVC	ㅊㅟᆨ	췩	chwik
cʰ	wa	m	CwVC	ㅊㅘᆷ	촴	chwam
cʰ	wa	n	CwVC	ㅊㅘᆫ	촨	chwan
cʰ	wa	ŋ	CwVC	ㅊㅘᆼ	촹	chwang
cʰ	wa	p̚	CwVC	ㅊㅘᆸ	촵	chwap
cʰ	wa	t̚	CwVC	ㅊㅘᆮ	촫	chwat
cʰ	wa	k̚	CwVC	ㅊㅘᆨ	촥	chwak
kʰ	wi	m	CwVC	ㅋㅟᆷ	큄	kwim
kʰ	wi	n	CwVC	ㅋㅟᆫ	퀸	kwin
kʰ	wi	ŋ	CwVC	ㅋㅟᆼ	큉	kwing
kʰ	wi	p̚	CwVC	ㅋㅟᆸ	큅	kwip
kʰ	wi	t̚	CwVC	ㅋㅟᆮ	퀻	kwit
kʰ	wa	m	CwVC	ㅋㅘᆷ	쾀	kwam
kʰ	wa	n	CwVC	ㅋㅘᆫ	콴	kwan
kʰ	wa	ŋ	CwVC	ㅋㅘᆼ	쾅	kwang
kʰ	wa	p̚	CwVC	ㅋㅘᆸ	쾁	kwap
kʰ	wa	t̚	CwVC	ㅋㅘᆮ	콷	kwat
mp	i	t̚	NCVC	ᄆㅂㅣᆮ		
mp	i	k̚	NCVC	ᄆㅂㅣᆨ		
mp	a	t̚	NCVC	ᄆㅂㅏᆮ		
mp	a	k̚	NCVC	ᄆㅂㅏᆨ		
mp	o	t̚	NCVC	ᄆㅂㅗᆮ		
mp	o	k̚	NCVC	ᄆㅂㅗᆨ		
mp	u	t̚	NCVC	ᄆㅂㅜᆮ		
mp	u	k̚	NCVC	ᄆㅂㅜᆨ		
np	i	t̚	NCVC	ᄂㅂㅣᆮ		
np	i	k̚	NCVC	ᄂㅂㅣᆨ		
np	a	t̚	NCVC	ᄂㅂㅏᆮ		
np	a	k̚	NCVC	ᄂㅂㅏᆨ		
np	o	t̚	NCVC	ᄂㅂㅗᆮ		
np	o	k̚	NCVC	ᄂㅂㅗᆨ		
np	u	t̚	NCVC	ᄂㅂㅜᆮ		
np	u	k̚	NCVC	ᄂㅂㅜᆨ		
mt	i	p̚	NCVC	ᄆㄷㅣᆸ		
mt	i	k̚	NCVC	ᄆㄷㅣᆨ		
mt	a	p̚	NCVC	ᄆㄷㅏᆸ		
mt	a	k̚	NCVC	ᄆㄷㅏᆨ		
mt	o	p̚	NCVC	ᄆㄷㅗᆸ		
mt	o	k̚	NCVC	ᄆㄷㅗᆨ		
mt	u	p̚	NCVC	ᄆㄷㅜᆸ		
mt	u	k̚	NCVC	ᄆㄷㅜᆨ		
nt	i	p̚	NCVC	ᄂㄷㅣᆸ		
nt	i	k̚	NCVC	ᄂㄷㅣᆨ		
nt	a	p̚	NCVC	ᄂㄷㅏᆸ		
nt	a	k̚	NCVC	ᄂㄷㅏᆨ		
nt	o	p̚	NCVC	ᄂㄷㅗᆸ		
nt	o	k̚	NCVC	ᄂㄷㅗᆨ		
nt	u	p̚	NCVC	ᄂㄷㅜᆸ		
nt	u	k̚	NCVC	ᄂㄷㅜᆨ		
mc	i	p̚	NCVC	ᄆㅈㅣᆸ		
mc	i	t̚	NCVC	ᄆㅈㅣᆮ		
mc	i	k̚	NCVC	ᄆㅈㅣᆨ		
mc	a	p̚	NCVC	ᄆㅈㅏᆸ		
mc	a	t̚	NCVC	ᄆㅈㅏᆮ		
mc	a	k̚	NCVC	ᄆㅈㅏᆨ		
mc	o	p̚	NCVC	ᄆㅈㅗᆸ		
mc	o	t̚	NCVC	ᄆㅈㅗᆮ		
mc	o	k̚	NCVC	ᄆㅈㅗᆨ		
mc	u	p̚	NCVC	ᄆㅈㅜᆸ		
mc	u	t̚	NCVC	ᄆㅈㅜᆮ		
mc	u	k̚	NCVC	ᄆㅈㅜᆨ		
nc	i	p̚	NCVC	ᄂㅈㅣᆸ		
nc	i	t̚	NCVC	ᄂㅈㅣᆮ		
nc	i	k̚	NCVC	ᄂㅈㅣᆨ		
nc	a	p̚	NCVC	ᄂㅈㅏᆸ		
nc	a	t̚	NCVC	ᄂㅈㅏᆮ		
nc	a	k̚	NCVC	ᄂㅈㅏᆨ		
nc	o	p̚	NCVC	ᄂㅈㅗᆸ		
nc	o	t̚	NCVC	ᄂㅈㅗᆮ		
nc	o	k̚	NCVC	ᄂㅈㅗᆨ		
nc	u	p̚	NCVC	ᄂㅈㅜᆸ		
nc	u	t̚	NCVC	ᄂㅈㅜᆮ		
nc	u	k̚	NCVC	ᄂㅈㅜᆨ		
mk	i	p̚	NCVC	ᄆㄱㅣᆸ		
mk	i	t̚	NCVC	ᄆㄱㅣᆮ		
mk	a	p̚	NCVC	ᄆㄱㅏᆸ		
mk	a	t̚	NCVC	ᄆㄱㅏᆮ		
mk	o	p̚	NCVC	ᄆㄱㅗᆸ		
mk	o	t̚	NCVC	ᄆㄱㅗᆮ		
mk	u	p̚	NCVC	ᄆㄱㅜᆸ		
mk	u	t̚	NCVC	ᄆㄱㅜᆮ		
nk	i	p̚	NCVC	ᄂㄱㅣᆸ		
nk	i	t̚	NCVC	ᄂㄱㅣᆮ		
nk	a	p̚	NCVC	ᄂㄱㅏᆸ		
nk	a	t̚	NCVC	ᄂㄱㅏᆮ		
nk	o	p̚	NCVC	ᄂㄱㅗᆸ		
nk	o	t̚	NCVC	ᄂㄱㅗᆮ		
nk	u	p̚	NCVC	ᄂㄱㅜᆸ		
nk	u	t̚	NCVC	ᄂㄱㅜᆮ		
mpʰ	i	t̚	NCVC	ᄆㅍㅣᆮ		
mpʰ	i	k̚	NCVC	ᄆㅍㅣᆨ		
mpʰ	a	t̚	NCVC	ᄆㅍㅏᆮ		
mpʰ	a	k̚	NCVC	ᄆㅍㅏᆨ		
mpʰ	o	t̚	NCVC	ᄆㅍㅗᆮ		
mpʰ	o	k̚	NCVC	ᄆㅍㅗᆨ		
mpʰ	u	t̚	NCVC	ᄆㅍㅜᆮ		
mpʰ	u	k̚	NCVC	ᄆㅍㅜᆨ		
npʰ	i	t̚	NCVC	ᄂㅍㅣᆮ		
npʰ	i	k̚	NCVC	ᄂㅍㅣᆨ		
npʰ	a	t̚	NCVC	ᄂㅍㅏᆮ		
npʰ	a	k̚	NCVC	ᄂㅍㅏᆨ		
npʰ	o	t̚	NCVC	ᄂㅍㅗᆮ		
npʰ	o	k̚	NCVC	ᄂㅍㅗᆨ		
npʰ	u	t̚	NCVC	ᄂㅍㅜᆮ		
npʰ	u	k̚	NCVC	ᄂㅍㅜᆨ		
mtʰ	i	p̚	NCVC	ᄆㅌㅣᆸ		
mtʰ	i	k̚	NCVC	ᄆㅌㅣᆨ		
mtʰ	a	p̚	NCVC	ᄆㅌㅏᆸ		
mtʰ	a	k̚	NCVC	ᄆㅌㅏᆨ		
mtʰ	o	p̚	NCVC	ᄆㅌㅗᆸ		
mtʰ	o	k̚	NCVC	ᄆㅌㅗᆨ		
mtʰ	u	p̚	NCVC	ᄆㅌㅜᆸ		
mtʰ	u	k̚	NCVC	ᄆㅌㅜᆨ		
ntʰ	i	p̚	NCVC	ᄂㅌㅣᆸ		
ntʰ	i	k̚	NCVC	ᄂㅌㅣᆨ		
ntʰ	a	p̚	NCVC	ᄂㅌㅏᆸ		
ntʰ	a	k̚	NCVC	ᄂㅌㅏᆨ		
ntʰ	o	p̚	NCVC	ᄂㅌㅗᆸ		
ntʰ	o	k̚	NCVC	ᄂㅌㅗᆨ		
ntʰ	u	p̚	NCVC	ᄂㅌㅜᆸ		
ntʰ	u	k̚	NCVC	ᄂㅌㅜᆨ		
mcʰ	i	p̚	NCVC	ᄆㅊㅣᆸ		
mcʰ	i	t̚	NCVC	ᄆㅊㅣᆮ		
mcʰ	i	k̚	NCVC	ᄆㅊㅣᆨ		
mcʰ	a	p̚	NCVC	ᄆㅊㅏᆸ		
mcʰ	a	t̚	NCVC	ᄆㅊㅏᆮ		
mcʰ	a	k̚	NCVC	ᄆㅊㅏᆨ		
mcʰ	o	p̚	NCVC	ᄆㅊㅗᆸ		
mcʰ	o	t̚	NCVC	ᄆㅊㅗᆮ		
mcʰ	o	k̚	NCVC	ᄆㅊㅗᆨ		
mcʰ	u	p̚	NCVC	ᄆㅊㅜᆸ		
mcʰ	u	t̚	NCVC	ᄆㅊㅜᆮ		
mcʰ	u	k̚	NCVC	ᄆㅊㅜᆨ		
ncʰ	i	p̚	NCVC	ᄂㅊㅣᆸ		
ncʰ	i	t̚	NCVC	ᄂㅊㅣᆮ		
ncʰ	i	k̚	NCVC	ᄂㅊㅣᆨ		
ncʰ	a	p̚	NCVC	ᄂㅊㅏᆸ		
ncʰ	a	t̚	NCVC	ᄂㅊㅏᆮ		
ncʰ	a	k̚	NCVC	ᄂㅊㅏᆨ		
ncʰ	o	p̚	NCVC	ᄂㅊㅗᆸ		
ncʰ	o	t̚	NCVC	ᄂㅊㅗᆮ		
ncʰ	o	k̚	NCVC	ᄂㅊㅗᆨ		
ncʰ	u	p̚	NCVC	ᄂㅊㅜᆸ		
ncʰ	u	t̚	NCVC	ᄂㅊㅜᆮ		
ncʰ	u	k̚	NCVC	ᄂㅊㅜᆨ		
mkʰ	i	p̚	NCVC	ᄆㅋㅣᆸ		
