onset	nucleus	coda	shape	jamo	hangul	romanized
p	i	m	CVC	ㅂㅣᆷ	빔	bim
p	i	n	CVC	ㅂㅣᆫ	빈	bin
p	i	ŋ	CVC	ㅂㅣᆼ	빙	bing
p	i	t̚	CVC	ㅂㅣᆮ	빋	bit
p	i	k̚	CVC	ㅂㅣᆨ	빅	bik
p	a	m	CVC	ㅂㅏᆷ	밤	bam
p	a	n	CVC	ㅂㅏᆫ	반	ban
p	a	ŋ	CVC	ㅂㅏᆼ	방	bang
p	a	t̚	CVC	ㅂㅏᆮ	받	bat
p	a	k̚	CVC	ㅂㅏᆨ	박	bak
p	o	m	CVC	ㅂㅗᆷ	봄	bom
p	o	n	CVC	ㅂㅗᆫ	본	bon
p	o	ŋ	CVC	ㅂㅗᆼ	봉	bong
p	o	t̚	CVC	ㅂㅗᆮ	볻	bot
p	o	k̚	CVC	ㅂㅗᆨ	복	bok
p	u	m	CVC	ㅂㅜᆷ	붐	bum
p	u	n	CVC	ㅂㅜᆫ	분	bun
p	u	ŋ	CVC	ㅂㅜᆼ	붕	bung
p	u	t̚	CVC	ㅂㅜᆮ	붇	but
p	u	k̚	CVC	ㅂㅜᆨ	북	buk
t	i	m	CVC	ㄷㅣᆷ	딤	dim
t	i	n	CVC	ㄷㅣᆫ	딘	din
t	i	ŋ	CVC	ㄷㅣᆼ	딩	ding
t	i	p̚	CVC	ㄷㅣᆸ	딥	dip
t	i	k̚	CVC	ㄷㅣᆨ	딕	dik
t	a	m	CVC	ㄷㅏᆷ	담	dam
t	a	n	CVC	ㄷㅏᆫ	단	dan
t	a	ŋ	CVC	ㄷㅏᆼ	당	dang
t	a	p̚	CVC	ㄷㅏᆸ	답	dap
t	a	k̚	CVC	ㄷㅏᆨ	닥	dak
t	o	m	CVC	ㄷㅗᆷ	돔	dom
t	o	n	CVC	ㄷㅗᆫ	돈	don
t	o	ŋ	CVC	ㄷㅗᆼ	동	dong
t	o	p̚	CVC	ㄷㅗᆸ	돕	dop
t	o	k̚	CVC	ㄷㅗᆨ	독	dok
t	u	m	CVC	ㄷㅜᆷ	둠	dum
t	u	n	CVC	ㄷㅜᆫ	둔	dun
t	u	ŋ	CVC	ㄷㅜᆼ	둥	dung
t	u	p̚	CVC	ㄷㅜᆸ	둡	dup
t	u	k̚	CVC	ㄷㅜᆨ	둑	duk
c	i	m	CVC	ㅈㅣᆷ	짐	jim
c	i	n	CVC	ㅈㅣᆫ	진	jin
c	i	ŋ	CVC	ㅈㅣᆼ	징	jing
c	i	p̚	CVC	ㅈㅣᆸ	집	jip
c	i	t̚	CVC	ㅈㅣᆮ	짇	jit
c	i	k̚	CVC	ㅈㅣᆨ	직	jik
c	a	m	CVC	ㅈㅏᆷ	잠	jam
c	a	n	CVC	ㅈㅏᆫ	잔	jan
c	a	ŋ	CVC	ㅈㅏᆼ	장	jang
c	a	p̚	CVC	ㅈㅏᆸ	잡	jap
c	a	t̚	CVC	ㅈㅏᆮ	잗	jat
c	a	k̚	CVC	ㅈㅏᆨ	작	jak
c	o	m	CVC	ㅈㅗᆷ	좀	jom
c	o	n	CVC	ㅈㅗᆫ	존	jon
c	o	ŋ	CVC	ㅈㅗᆼ	종	jong
c	o	p̚	CVC	ㅈㅗᆸ	좁	jop
c	o	t̚	CVC	ㅈㅗᆮ	졷	jot
c	o	k̚	CVC	ㅈㅗᆨ	족	jok
c	u	m	CVC	ㅈㅜᆷ	줌	jum
c	u	n	CVC	ㅈㅜᆫ	준	jun
c	u	ŋ	CVC	ㅈㅜᆼ	중	jung
c	u	p̚	CVC	ㅈㅜᆸ	줍	jup
c	u	t̚	CVC	ㅈㅜᆮ	줃	jut
c	u	k̚	CVC	ㅈㅜᆨ	죽	juk
k	i	m	CVC	ㄱㅣᆷ	김	gim
k	i	n	CVC	ㄱㅣᆫ	긴	gin
k	i	ŋ	CVC	ㄱㅣᆼ	깅	ging
k	i	p̚	CVC	ㄱㅣᆸ	깁	gip
k	i	t̚	CVC	ㄱㅣᆮ	긷	git
